sprites/layers/world1/layer1.png
3010.000000,3200.000000
moving_terrain	2452.000000,4800.000000	130	SOLID	LINE|240|100|90									
moving_terrain	2852.000000,4800.000000	130	SOLID	LINE|240|100|90									
moving_terrain	3252.000000,4800.000000	130	SOLID	LINE|240|100|90									
laser_beamer	2630.266602,4477.902832	360.000000	500.000000	0.000000	CONSTANT	null	
barrel_spawner	3604.831055,4733.954590	
moving_terrain	2000.000000,5200.000000	70	SOLID	LINE|240|250|90						
push_bot	1975.751343,5539.173340	1	
moving_terrain	2650.000000,5700.000000	70	SOLID	LINE|900|550|0						
push_bot	6000.252441,5998.012695	1	
laser_beamer	2539.165771,5173.273926	360.000000	550.000000	180.000000	CONSTANT	null	
sign	Warning! Uxcavation Ahuad!	2012.068604,5585.103027	
gravity_switch	4606.972168,5756.000000	
terrain_spawner	1717.632690,2870.493408	
terrain_spawner	1864.299316,2886.049072	
terrain_spawner	1968.743774,2938.271240	
terrain_spawner	3469.852051,1883.850342	
camera_move_region	3900.206543,4716.000000	500.000000	500.000000	200.000000,0.000000	

barrel_receiver	4401.333008,4691.734863	1	null	
barrel_receiver	4368.380371,4406.159180	1	null	
