sprites/layers/world1/layer1.png
3010.000000,3200.000000
moving_terrain	3000.000000,3300.000000	120	SOLID	LINE|30|1000|0					
moving_terrain	2452.000000,4800.000000	130	SOLID	LINE|10|100|90					
moving_terrain	2852.000000,4800.000000	130	SOLID	LINE|11|100|90					
moving_terrain	3252.000000,4800.000000	130	SOLID	LINE|13|100|90					
laser_beamer	2630.266602,4477.902832	360.000000	500.000000	0.000000	CONSTANT	
barrel_spawner	3604.831055,4733.954590	
moving_terrain	2000.000000,5200.000000	70	SOLID	LINE|20|250|90		
push_bot	2000.000000,5200.000000	1	
moving_terrain	2650.000000,5700.000000	70	SOLID	LINE|30|550|0		
push_bot	2650.000000,5700.000000	1	
laser_beamer	2539.165771,5173.273926	360.000000	550.000000	180.000000	CONSTANT

barrel	3630.237061,4772.330078	
sign	Warning! Uxcavation Ahuad!	1840.686523,5686.000000	
gravity_switch	4000,5685
